ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,outcome_60d,outcome_90d,outcome_180d,iwm_60d,iwm_90d,iwm_180d
ENR,"Energizer Holdings, Inc.",2019-08-19,2019-08-08,2019-08-15,1050876,4,2033.8,$500M-$5B,True,False,28.56671524047852,1.44,3.91,17.46,2019-08-26,2019-08-29,2019-09-18,False,,12.66,37.3,2.2,6.17,11.82,-15.33
EWBC,East West Bancorp Inc,2019-09-04,2019-08-27,2019-09-03,1601398,4,4957.7,$500M-$5B,True,False,35.49323272705078,9.41,8.94,0.14,2019-09-11,2019-09-16,2019-10-04,False,,13.38,17.53,-13.28,10.53,13.06,-8.19
PLCE,"Childrens Place, Inc.",2019-12-17,2019-12-13,2019-12-16,1863774,3,981.8,$500M-$5B,True,False,62.0099983215332,2.52,0.1,5.34,2019-12-24,2019-12-27,2020-01-16,False,,-39.09,-56.85,-65.38,-37.09,-21.31,-5.95
ARQT,"Arcutis Biotherapeutics, Inc.",2020-02-06,2020-02-03,2020-02-04,26501096,3,888.6,$500M-$5B,False,False,26.38999938964844,-0.23,-3.37,7.46,2020-02-13,2020-02-18,2020-03-09,False,,5.09,19.08,-6.67,-24.42,-12.88,-1.8
AMG,"Affiliated Managers Group, Inc.",2020-03-05,2020-02-18,2020-03-03,1055106,3,3378.4,$500M-$5B,True,False,70.36897277832031,-28.53,-25.42,-12.55,2020-03-12,2020-03-16,2020-04-06,False,,-5.76,2.38,25.87,-4.44,-3.03,20.77
AMRX,"Amneal Pharmaceuticals, Inc.",2020-03-11,2020-02-28,2020-03-10,3301773,4,1012.6,$500M-$5B,False,False,2.8499999046325684,-7.37,33.68,20.7,2020-03-18,2020-03-23,2020-04-13,False,,43.69,49.54,25.85,19.77,16.79,47.97
STLD,Steel Dynamics Inc,2020-03-11,2020-02-28,2020-03-10,815672,3,4004.9,$500M-$5B,True,False,16.616609573364258,-17.29,-4.54,27.88,2020-03-18,2020-03-23,2020-04-13,False,,34.81,29.62,76.78,19.77,16.79,47.97
BHF,"Brighthouse Financial, Inc.",2020-03-11,2020-03-09,2020-03-10,839049,4,2525.5,$500M-$5B,True,False,19.940000534057617,-16.25,-16.3,28.49,2020-03-18,2020-03-23,2020-04-13,False,,40.41,21.47,53.68,19.77,16.79,47.97
FUN,Cedar Fair L P,2020-03-12,2020-03-06,2020-03-11,674867,4,1124.0,$500M-$5B,True,False,25.117164611816406,-41.2,-30.62,-22.05,2020-03-19,2020-03-23,2020-04-13,False,,76.37,27.11,84.56,37.25,33.17,65.78
AMG,"Affiliated Managers Group, Inc.",2020-03-12,2020-03-02,2020-03-12,755006,3,2407.4,$500M-$5B,True,False,57.07181930541992,-3.22,-21.02,10.02,2020-03-19,2020-03-23,2020-04-13,False,,55.13,38.91,81.5,37.25,33.17,65.78
NWL,Newell Brands Inc.,2020-03-16,2020-03-05,2020-03-12,39900298,4,3948.0,$500M-$5B,True,False,10.066276550292969,-20.44,6.41,-4.0,2020-03-23,2020-03-26,2020-04-15,False,,31.83,41.43,80.42,41.62,44.12,76.64
THC,Tenet Healthcare Corp,2020-03-17,2020-03-02,2020-03-16,1117754,3,1371.4,$500M-$5B,True,False,11.010000228881836,36.69,54.95,76.2,2020-03-24,2020-03-27,2020-04-16,False,,67.91,90.04,139.01,25.08,35.78,70.46
SUN,Sunoco LP,2020-03-18,2020-03-12,2020-03-17,449571,3,613.0,$500M-$5B,True,False,9.283679008483888,-5.87,-1.33,34.73,2020-03-25,2020-03-30,2020-04-17,False,,109.87,112.73,160.37,38.85,48.72,84.98
SEE,Sealed Air Corp/de,2020-03-20,2020-03-05,2020-03-19,793544,3,3323.2,$500M-$5B,False,False,19.79511833190918,11.7,16.27,29.42,2020-03-27,2020-03-30,2020-04-20,False,,29.43,53.69,88.76,43.42,48.36,87.66
PB,Prosperity Bancshares Inc,2020-03-24,2020-03-09,2020-03-23,1261438,3,3534.5,$500M-$5B,True,False,39.68449401855469,0.06,-7.03,2.32,2020-03-31,2020-04-03,2020-04-23,False,,38.57,25.52,49.27,30.91,36.12,76.92
CIM,Chimera Investment Corp,2020-03-24,2020-03-18,2020-03-18,1297220,3,2031.0,$500M-$5B,True,False,13.302935600280762,1.91,-19.81,-16.9,2020-03-31,2020-04-03,2020-04-23,False,,47.92,28.44,57.28,30.91,36.12,76.92
BCO,Brinks Co,2020-03-25,2020-03-03,2020-03-05,1795125,3,2340.6,$500M-$5B,False,False,50.75105285644531,-14.49,-14.7,-18.94,2020-04-01,2020-04-06,2020-04-24,False,,-6.11,-10.66,38.96,28.64,36.64,73.48
BCO,Brinks Co,2020-05-18,2020-05-12,2020-05-14,792211,3,1943.7,$500M-$5B,False,False,35.344383239746094,11.76,9.72,24.66,2020-05-26,2020-05-28,2020-06-17,False,,19.16,-3.08,68.41,19.12,9.37,63.15
NKTX,"Nkarta, Inc.",2020-07-16,2020-07-14,2020-07-14,102999978,4,1182.4,$500M-$5B,False,False,37.02000045776367,-18.02,-25.2,-27.42,2020-07-23,2020-07-27,2020-08-17,False,,-7.59,-6.38,-11.36,11.74,21.91,55.28
