ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,insider_names
ETNB,"89Bio, Inc.",2019-11-13,2019-11-11,2019-11-11,50600000,4,"Grunberg Gregory; Kariv Tomer; Naschitz Anat; Ra Capital Management, L.P."
GRTX,"Galera Therapeutics, Inc.",2019-11-14,2019-11-12,2019-11-12,19999992,3,"New Enterprise Associates 14, L.P.; Novo Holdings A/s; Sofinnova Venture Partners Ix, L.P."
AGIO,"Agios Pharmaceuticals, Inc.",2019-11-15,2019-11-12,2019-11-13,13749957,2,Celgene Corp /de/; Fouse Jacqualyn A
CIT,Cit Group Inc,2019-11-15,2019-11-13,2019-11-13,1200000,3,Alemany Ellen R; Fawcett John J.; McPhail Kenneth
SRACU,Stable Road Acquisition Corp.,2019-11-15,2019-11-13,2019-11-13,14850000,3,Freedman Edward K.; Kabot Brian; Quiroga Juan Manuel
RAPT,"Rapt Therapeutics, Inc.",2019-11-15,2019-11-04,2019-11-04,12780000,3,Goeddel David V; Topspin Fund L.P.; Wong Brian Russell
RETA,Reata Pharmaceuticals Inc,2019-11-18,2019-11-18,2019-11-18,14719788,2,McGaughy R Kent Jr; Traweek James W Jr
AMEH,"Apollo Medical Holdings, Inc.",2019-11-18,2019-11-14,2019-11-14,295100,2,Lam Thomas S.; Sim Kenneth T.
CDEV,"Centennial Resource Development, Inc.",2019-11-19,2019-11-08,2019-11-15,586928,2,Glyphis George S.; Papa Mark G
ET,Energy Transfer LP,2019-11-20,2019-11-14,2019-11-19,45330723,2,Long Thomas E; Warren Kelcy L
PTGX,"Protagonist Therapeutics, Inc",2019-12-03,2019-12-03,2019-12-03,322400,2,Gupta Suneel; Patel Dinesh V Ph D
FRTA,"Forterra, Inc.",2019-12-17,2019-03-14,2019-03-15,411060,2,Bradley Jeff; Brown Charles Rodney
PLCE,"Childrens Place, Inc.",2019-12-17,2019-12-13,2019-12-16,1863774,3,Elfers Jane T; Matthews Norman S; Scarpa Michael
IMH,Impac Mortgage Holdings Inc,2019-12-19,2019-12-17,2019-12-17,944300,2,"Pickup Richard H.; Rhp Trust, Dated May 31, 2011"
HCCOU,Healthcare Merger Corp.,2019-12-19,2019-12-17,2019-12-17,14000000,2,Ditkoff Charles J.; Shulman Steven J
MNPR,Monopar Therapeutics,2019-12-20,2019-12-18,2019-12-18,5002510,2,Hendricks Diane; Leo Karl
UBP,Urstadt Biddle Properties Inc,2019-12-23,2019-12-23,2019-12-23,1332000,2,Biddle Catherine U; Biddle Willing L
OSMT,Osmotica Pharmaceuticals Plc,2020-01-15,2020-01-13,2020-01-13,25000000,4,"Avista Capital Partners III Gp, L.P.; Burgstahler David F; Harsaul Foundation; Venkataraman Sriram"
APTX,Aptinyx Inc.,2020-01-16,2020-01-10,2020-01-14,10104999,2,Koppel Adam; Riedel Norbert G
VRA,"Vera Bradley, Inc.",2020-01-16,2019-12-24,2019-12-24,31084734,2,Miller P. Michael; Miller Patricia R.
VCNX,"Vaccinex, Inc.",2020-01-27,2020-01-23,2020-01-23,5499995,2,Friedberg Albert; Zauderer Maurice
DFS,Discover Financial Services,2020-01-28,2020-01-27,2020-01-27,1833800,4,Greene John; Hochschild Roger C; Minetti Carlos; Walcott Wanjiku Juanita
CSFL,Centerstate Bank Corp,2020-02-03,2020-01-31,2020-01-31,227443,2,Corbett John C; Matthews William E V
BDTX,"Black Diamond Therapeutics, Inc.",2020-02-05,2020-02-03,2020-02-03,24599984,2,"Flynn James E; Versant Venture Capital Vi, L.P."
ANVS,"Annovis Bio, Inc.",2020-02-05,2020-01-31,2020-01-31,539424,2,Hoffman Michael B; McGroarty Jeffrey Brian
DCOM,Dime Community Bancshares Inc,2020-02-06,2020-02-05,2020-02-05,450000,2,Lubow Stuart H; Mahon Kenneth J
NGVT,Ingevity Corp,2020-02-06,2020-02-06,2020-02-06,633327,2,Fortson John C.; Wilson D Michael
ARQT,"Arcutis Biotherapeutics, Inc.",2020-02-06,2020-02-03,2020-02-04,26501096,3,"Frazier Life Sciences Viii, L.P.; Heron Patrick J; Silverstein Jonathan"
CSPR,Casper Sleep Inc.,2020-02-12,2020-02-10,2020-02-10,30000000,2,"Florence Anthony A. Jr.; New Enterprise Associates 14, L.P."
PPD,"Ppd, Inc.",2020-02-12,2020-02-10,2020-02-10,1890000,2,Sharbaugh William J; Simmons David S
SPB,"Spectrum Brands Holdings, Inc.",2020-02-13,2020-02-13,2020-02-13,1499652,2,Maura David M; Smeltser Jeremy W
ESSC,East Stone Acquisition Corp,2020-02-26,2020-02-24,2020-02-24,3340000,2,Hao Chun Yi; Yu Fan
R,Ryder System Inc,2020-02-26,2020-02-24,2020-02-25,1005282,2,Parker Scott T; Sanchez Robert E
NGL,Ngl Energy Partners LP,2020-02-27,2020-02-11,2020-02-25,1518228,2,Ciolek John; Krimbill H Michael
LEDS,Semileds Corp,2020-02-28,2019-11-25,2019-11-25,3000000,2,J.R. Simplot Co; Simplot Scott R.
BG,Bunge Ltd,2020-03-02,2020-02-18,2020-02-28,3455790,3,Heckman Gregory A; Neppl John W; Podwika Joseph
VICI,Vici Properties Inc.,2020-03-03,2020-03-02,2020-03-02,1260583,3,Kieske David Andrew; Payne John W R; Pitoniak Edward Baltazar
PASG,"Passage Bio, Inc.",2020-03-03,2020-03-03,2020-03-03,27900000,4,"Frazier Life Sciences Ix, L.P.; Heron Patrick J; Versant Venture Capital Vi, L.P.; Woiwode Thomas"
PACW,Pacwest Bancorp,2020-03-04,2020-03-02,2020-03-02,549189,2,Blake Christopher D; Wagner Matthew P
ETRN,Equitrans Midstream Corp,2020-03-04,2020-03-04,2020-03-04,716400,2,Charletta Diana M; Karam Thomas F
MDRX,"Allscripts Healthcare Solutions, Inc.",2020-03-05,2020-03-05,2020-03-05,363190,2,Black Paul; Poulton Richard J.
AMG,"Affiliated Managers Group, Inc.",2020-03-05,2020-02-18,2020-03-03,1055106,3,Cutler Hugh; Horgen Jay C.; Wojcik Thomas M
NGL,Ngl Energy Partners LP,2020-03-06,2020-02-24,2020-03-06,908372,2,Ciolek John; Krimbill H Michael
SEE,Sealed Air Corp/de,2020-03-06,2020-02-25,2020-03-05,622244,3,Chammas Emile Z.; Doheny Edward L II; Sullivan James M
SNV,Synovus Financial Corp,2020-03-09,2020-03-05,2020-03-09,367300,2,Gregory Andrew J. Jr.; Stelling Kessel D
FCX,Freeport-McMoran Inc,2020-03-09,2020-03-05,2020-03-05,3358326,2,Adkerson Richard C; Quirk Kathleen L
WMB,"Williams Companies, Inc.",2020-03-10,2020-03-09,2020-03-09,698554,2,Armstrong Alan S; Chandler John D
KAR,"Kar Auction Services, Inc.",2020-03-10,2020-02-21,2020-03-06,1058561,2,Loughmiller Eric M.; Skuy Benjamin
KAR,"Kar Auction Services, Inc.",2020-03-10,2020-03-06,2020-03-09,1901635,2,Hallett James P; Loughmiller Eric M.
SONA,Southern National Bancorp of Virginia Inc,2020-03-10,2020-02-26,2020-02-26,372275,2,Shearin Joe A; Zember Dennis J Jr
RVLV,"Revolve Group, Inc.",2020-03-10,2020-03-06,2020-03-06,2569001,2,Karanikolas Michael; Mente Michael
STOR,Store Capital Corp,2020-03-11,2020-03-06,2020-03-10,426330,2,Long Catherine F.; Rosivach Andrew
AMRX,"Amneal Pharmaceuticals, Inc.",2020-03-11,2020-02-28,2020-03-10,3301773,4,Patel Chintu; Patel Chirag K.; Patel Gautam; Todisco Joseph
STLD,Steel Dynamics Inc,2020-03-11,2020-02-28,2020-03-10,815672,3,Alvarez Miguel; Pushis Glenn; Rinn Russell B
BHF,"Brighthouse Financial, Inc.",2020-03-11,2020-03-09,2020-03-10,839049,4,Debiase Christine M.; Rosenthal John; Spehar Edward A.; Steigerwalt Eric T
CWH,"Camping World Holdings, Inc.",2020-03-12,2020-03-05,2020-03-12,1919020,2,Flanigan Melvin; Lemonis Marcus
ET,Energy Transfer LP,2020-03-12,2020-02-27,2020-03-10,43094050,3,Long Thomas E; Ramsey Matthew S.; Warren Kelcy L
FUN,Cedar Fair L P,2020-03-12,2020-03-06,2020-03-11,674867,4,Duffield Milkie; Fisher Tim; Witherow Brian C; Zimmerman Richard
ARMK,Aramark,2020-03-12,2020-03-11,2020-03-12,1530328,2,Bruno Marc A; Zillmer John J
HT,Hersha Hospitality Trust,2020-03-12,2020-02-27,2020-03-10,1576955,2,Shah Jay H; Shah Neil H
AMG,"Affiliated Managers Group, Inc.",2020-03-12,2020-03-02,2020-03-12,755006,3,Cutler Hugh; Horgen Jay C.; Wojcik Thomas M
EQH,"Equitable Holdings, Inc.",2020-03-12,2020-03-09,2020-03-12,495441,2,Malmstrom Anders; Pearson Mark
AVYA,Avaya Holdings Corp.,2020-03-12,2020-03-03,2020-03-11,379007,2,Bartolo Anthony; McGrath Kieran J
ARR,"Armour Residential Reit, Inc.",2020-03-13,2020-03-13,2020-03-13,269361,2,Ulm Scott; Zimmer Jeffrey J
BG,Bunge Ltd,2020-03-13,2020-02-28,2020-03-13,5080710,2,Heckman Gregory A; Neppl John W
KALA,"Kala Pharmaceuticals, Inc.",2020-03-13,2020-03-13,2020-03-13,99999990,2,"Ra Capital Management, L.P.; Shah Rajeev M."
SWX,"Southwest Gas Holdings, Inc.",2020-03-13,2020-03-12,2020-03-13,254000,2,Daily Paul M; Hester John P
CLF,Cleveland-Cliffs Inc.,2020-03-13,2020-03-11,2020-03-12,1000508,2,Goncalves Lourenco; Koci Keith
PLNT,"Planet Fitness, Inc.",2020-03-13,2020-03-04,2020-03-12,4873440,2,Lively Dorvin D; Rondeau Christopher
XAN,Exantas Capital Corp.,2020-03-13,2020-03-11,2020-03-12,263632,2,Elliott Thomas C; Lieber Robert C
ASX,Coronado Global Resources Inc.,2020-03-13,2020-03-09,2020-03-12,1904300,2,Campbell James I; Spindler Garold
RILY,"B. Riley Financial, Inc.",2020-03-16,2020-03-09,2020-03-16,312795,2,Kelleher Thomas J /adv; Moore Andrew
COMM,"Commscope Holding Company, Inc.",2020-03-16,2020-03-12,2020-03-13,382227,2,Edwards Marvin S Jr; Wyatt Frank B II
NCR,Ncr Corp,2020-03-16,2020-03-13,2020-03-13,1849535,3,D'Angelo Frank G.; Hayford Michael D; Sullivan Owen J
NWL,Newell Brands Inc.,2020-03-16,2020-03-05,2020-03-12,39900298,4,Icahn Brett; Icahn Carl C; Peterson Christopher H; Saligram Ravichandra Krishnamurty
PSN,Parsons Corp,2020-03-16,2020-03-12,2020-03-12,1343773,2,Ball George L.; Harrington Charles L.
